Financial Year Ending,Utility Name,Project Name,Project Expenditure,Notes
2024,Horizon Power,Standalone Power Systems (SPS) Roll-out,$13.3 million,Installation of 50 SPS units in the Esperance Region.
2024,Horizon Power,Customer-funded Temporary Solar Connection,$7.6 million,33kV network solution for the Burrup Peninsula.
2024,Horizon Power,Property - New Builds,$3.8 million,Construction of six new residential houses for regional staff.
2024,Horizon Power,Electric Vehicle (EV) Charging Infrastructure,$2.4 million,Equity contribution for EV network stretching to Kununurra and Esperance.
2024,Horizon Power,Outage and Life Support Management System,N/A,Funded from a broader $8.8 million allocation across 2023-24 and 2024-25.
2024,Horizon Power,Energy Storage in Regional Towns,N/A,Funded from a broader $30.8 million allocation.
2025,Synergy,Total Asset Investment Program,$1.228 billion,
2025,Synergy,Kwinana Battery Energy Storage System 2,$583.3 million,200 MW/800 MWh utility-scale transmission-connected battery.
2025,Synergy,Collie Battery Energy Storage System 1,$549.7 million,"500 MW/2,000 MWh battery energy storage system."
2025,Synergy,Business Systems Replacement,$72.5 million,Corporate IT infrastructure replacement.
2025,Synergy,Generation Asset Maintenance,$63 million,Maintenance of thermal and renewable fleet capacity.
2025,Synergy,"Property, Plant and Equipment",$9.8 million,Ongoing corporate works.
2025,Synergy,Decarbonisation - Other Minor Investment,$1.5 million,Minor program investments.
2025,Western Power,Total Asset Investment Program,$1.373 billion,
2025,Western Power,Service Capital Projects,$455.2 million,Includes $125.8M for ICT upgrades and $38.2M for corporate real estate/depots.
2025,Western Power,Safety Programs,$443.4 million,Includes $202.1M for Undergrounding Pilot and $194.3M for pole/conductor replacement.
2025,Western Power,Clean Energy Link North & Augmentation,$185.9 million,Supports SWIS decarbonisation initiatives.
2025,Western Power,Growth (Customer Driven Works),$183.6 million,Customer connections and infrastructure.
2025,Western Power,Growth (Network Augmentation),$74.2 million,Capacity expansion works.
2025,Western Power,Asset Relocation and Upgrades,$4.4 million,Asset relocation facilitating broader capital works.
2025,Western Power,Community Batteries,$3.3 million,Commonwealth Government's Community Batteries for Household Solar Program.
2025,Western Power,Security (Thermal Management),"$224,000",Addresses fault-rated equipment and voltage constraints.
2025,Horizon Power,Total Asset Investment Program,$189.1 million,
2025,Horizon Power,Asset Management Plan,$51.4 million,"Includes $12.5M for Safety, $12.4M for Reliability, and $10.2M for Asset Replacement."
2025,Horizon Power,Kimberley Communities Solar Saver,N/A,Funded from a $10.6 million allocation across 2023-24 and 2024-25.
2025,Horizon Power,Outage and Life Support Management System,N/A,Funded from an $8.8 million allocation across 2023-24 and 2024-25.
2025,Horizon Power,Dampier Resilience Project,N/A,Funded from a $3.8 million allocation across 2023-24 and 2024-25.
2025,Horizon Power,Property - New Builds,N/A,Funded from a $3.8 million allocation across 2023-24 and 2024-25.
2025,Horizon Power,Remote Communities Transfer,N/A,Part of a $60.8 million investment over the forward estimates.
2025,Horizon Power,Transmission Infrastructure,N/A,Part of a $147.6 million investment over the forward estimates.
2026,Synergy,Total Asset Investment Program,$568.4 million,
2026,Synergy,Thermal Generation Maintenance,$69.8 million,Includes funding for Cockburn Power Station and Kwinana Gas Turbines.
2026,Synergy,Renewable Assets,N/A,Part of a $199.9 million (Collie Battery) and $424 million (King Rocks) forward estimate provision.
2026,Western Power,Total Asset Investment Program,$1.708 billion,
2026,Western Power,Clean Energy Link - North,$542 million,Upgrades to connect wind capacity in the Wheatbelt and Mid West.
2026,Western Power,Service Capital Projects,$447.8 million,Includes $127.6M for asset replacements and $19.6M for corporate real estate.
2026,Western Power,Safety Programs,$392.2 million,Includes $148.1M for the Underground Power Program across multiple suburbs.
2026,Western Power,Asset Relocation and Upgrades,$17.3 million,Relocation of transmission and distribution assets.
2026,Horizon Power,Total Asset Investment Program,$112.2 million,
2026,Horizon Power,Asset Management Plan,$52.6 million,Extreme and high-risk mitigation for energy assets.
2026,Horizon Power,Blackstone Hybrid Energy Solution,N/A,Construction commencing August 2025 to replace temporary diesel generation.
2026,Horizon Power,Community Batteries,N/A,"Procurement of 10 community batteries across Exmouth, Carnarvon, and Esperance."
2026,Horizon Power,Advanced Metering Infrastructure Pilot,N/A,Rollout for five remote communities in the Kimberley and Pilbara.
2026,Horizon Power,Remote Generation Asset Upgrades,N/A,Chile Creek asset upgrades to deliver resilient hybrid generation.
2026,Horizon Power,Regulated Network Transformer,N/A,Murdoch zone substation replacement funded from 2024-25 allocations.
2027,Synergy,Total Asset Investment Program,$199.4 million,
2027,Synergy,Generation and Storage Assets,$63.6 million,"Maintenance of coal, gas, liquid fuel, renewable, and battery assets."
2027,Synergy,Security of Critical Infrastructure Remediation,$1.65 million,"Identified as ""New Works"" under corporate expenditures."
2027,Synergy,King Rocks Wind Farm,N/A,Funded via a $132.2 million investment over the forward estimates period.
2027,Western Power,Total Asset Investment Program,$2.32 billion,
2027,Western Power,Growth Capital Expenditure,$1.1 billion,"Network expansion supporting decarbonisation, electrification, and housing."
2027,Western Power,Sustaining Capital Expenditure,$1.1 billion,"Asset renewal to maintain safety and compliance; ICT, SCADA, and metering."
2027,Western Power,Structural Capital Expenditure,$110 million,"Enables transformer upgrades, new substations, and CBD office accommodation."
2027,Western Power,Clean Energy Link (Kemerton SIA),$55 million,Replacement higher capacity transformer and network reliability improvements.
2027,Horizon Power,Total Asset Investment Program,$141.3 million,
2027,Horizon Power,Advanced Metering Infrastructure,$11 million,Part of a broader $23 million initiative for remote communities.
2027,Horizon Power,Asset Management Plan,N/A,Expected ~$50.1M sub-total; part of a $929 million 4-year investment.
2027,Horizon Power,Remote Communities Initiatives,N/A,Part of a broader $189 million 4-year investment.
2027,Horizon Power,Customer-Funded Works,N/A,Part of a $205 million investment over four years.
